Time,Section,Index,Line,Word,Misspelled,Triggered
232.814122,1,147,17,doshmanxy,True,False
233.395122,1,147,17,doshmanxy,True,False
467.279703,1,643,81,pretconfexz,True,False
468.229798,1,643,81,pretconfexz,True,False
528.982329,1,773,98,emonfulxx,True,False
634.314331,1,1001,127,zxembling,True,False
834.991493,1,1438,183,xyztgb,True,False
836.455492,1,1438,183,xyztgb,True,False
984.231101,1,1762,224,grashxyzli.,True,False
1018.991986,1,1839,233,xpyonenk,True,False
1019.616986,1,1839,233,xpyonenk,True,False
